"subject","md5.hash","item.number","element.number","Parte","Condition","Predicate","Valence","Exemplars","Left","Right","sentence","answer","rt","Pilot","img_answer","value"
"1490885367","93493b6c9d9fb9011e93e80233d3cbcd",2,0,"2",NA,NA,NA,NA,NA,NA,"The bags are heavy.","Left",2628,"1a2",NA,TRUE
"1490885367","93493b6c9d9fb9011e93e80233d3cbcd",20,0,"1","Both","heavy/light","pos","books","AP","Both","The books are heavy.","Right",3299,"1a2","Both",TRUE
"1490885367","93493b6c9d9fb9011e93e80233d3cbcd",24,0,"1","Foil","loud/quiet","neg","instruments","AP","Foil","The instruments are quiet.","Left",2363,"1a2","AP",TRUE
"1490885367","93493b6c9d9fb9011e93e80233d3cbcd",29,0,"1","Foil","expensive/cheap","neg","cars","Foil","AP","The cars are cheap.","Right",4135,"1a2","AP",TRUE
"1490885367","93493b6c9d9fb9011e93e80233d3cbcd",14,0,"1","Both","expensive/cheap","pos","watches","AP","Both","The watches are expensive.","Right",5696,"1a2","Both",TRUE
"1490885367","93493b6c9d9fb9011e93e80233d3cbcd",19,0,"1","Both","heavy/light","pos","bags","Both","AP","The bags are heavy.","Left",2945,"1a2","Both",TRUE
"1490885367","93493b6c9d9fb9011e93e80233d3cbcd",38,0,"1","Both","heavy/light","neg","books","AP","Both","The books are light.","Right",11056,"1a2","Both",TRUE
"1490885367","93493b6c9d9fb9011e93e80233d3cbcd",31,0,"1","Both","expensive/cheap","neg","cars","Both","AP","The cars are cheap.","Left",2291,"1a2","Both",TRUE
"1490885367","93493b6c9d9fb9011e93e80233d3cbcd",18,0,"1","Foil","heavy/light","pos","books","AP","Foil","The books are heavy.","Left",4905,"1a2","AP",TRUE
"1490885367","93493b6c9d9fb9011e93e80233d3cbcd",5,0,"1","Foil","loud/quiet","pos","birds","Foil","AP","The birds are loud.","Right",3199,"1a2","AP",TRUE
"1490885367","93493b6c9d9fb9011e93e80233d3cbcd",27,0,"1","D","expensive/cheap","neg","cars","D","AP","The cars are cheap.","Right",609,"1a2","AP",TRUE
"1490885367","93493b6c9d9fb9011e93e80233d3cbcd",32,0,"1","Both","expensive/cheap","neg","watches","AP","Both","The watches are cheap.","Right",3977,"1a2","Both",TRUE
"1490885367","93493b6c9d9fb9011e93e80233d3cbcd",23,0,"1","Foil","loud/quiet","neg","birds","Foil","AP","The birds are quiet.","Right",3042,"1a2","AP",TRUE
"1490885367","93493b6c9d9fb9011e93e80233d3cbcd",12,0,"1","Foil","expensive/cheap","pos","watches","AP","Foil","The watches are expensive.","Left",3793,"1a2","AP",TRUE
"1490885367","93493b6c9d9fb9011e93e80233d3cbcd",17,0,"1","Foil","heavy/light","pos","bags","Foil","AP","The bags are heavy.","Left",1867,"1a2","Foil",TRUE
"1490885367","93493b6c9d9fb9011e93e80233d3cbcd",26,0,"1","Both","loud/quiet","neg","instruments","AP","Both","The instruments are quiet.","Right",2894,"1a2","Both",TRUE
"1490885367","93493b6c9d9fb9011e93e80233d3cbcd",7,0,"1","Both","loud/quiet","pos","birds","Both","AP","The birds are loud.","Left",6875,"1a2","Both",TRUE
"1490885367","93493b6c9d9fb9011e93e80233d3cbcd",36,0,"1","Foil","heavy/light","neg","books","AP","Foil","The books are light.","Left",3050,"1a2","AP",TRUE
"1490885367","93493b6c9d9fb9011e93e80233d3cbcd",25,0,"1","Both","loud/quiet","neg","birds","Both","AP","The birds are quiet.","Left",2045,"1a2","Both",TRUE
"1490885367","93493b6c9d9fb9011e93e80233d3cbcd",33,0,"1","D","heavy/light","neg","bags","D","AP","The bags are light.","Left",1493,"1a2","D",TRUE
"1490885367","93493b6c9d9fb9011e93e80233d3cbcd",8,0,"1","Both","loud/quiet","pos","instruments","AP","Both","The instruments are loud.","Right",1658,"1a2","Both",TRUE
"1490885367","93493b6c9d9fb9011e93e80233d3cbcd",35,0,"1","Foil","heavy/light","neg","bags","Foil","AP","The bags are light.","Left",2716,"1a2","Foil",TRUE
"1490885367","93493b6c9d9fb9011e93e80233d3cbcd",37,0,"1","Both","heavy/light","neg","bags","Both","AP","The bags are light.","Left",2498,"1a2","Both",TRUE
"1490885367","93493b6c9d9fb9011e93e80233d3cbcd",13,0,"1","Both","expensive/cheap","pos","cars","Both","AP","The cars are expensive.","Right",1328,"1a2","AP",TRUE
"1490885367","93493b6c9d9fb9011e93e80233d3cbcd",30,0,"1","Foil","expensive/cheap","neg","watches","AP","Foil","The watches are cheap.","Left",3844,"1a2","AP",TRUE
