"subject","md5.hash","item.number","Experiment","Condition","Predicate","Polarity","Blur_Both","Overt","sentence","answer","rt","Selection.Blur_Both","Accuracy"
"1493475050","c911d0dddb57406b34af9afaeab19ecc","50","E1","Both-D","heavy/light","1","L","R","The books are light.","L",4481,TRUE,NA
"1493475050","c911d0dddb57406b34af9afaeab19ecc","30","E1","Foil-Blur","expensive/cheap","0","R","L","The watch is expensive.","R",1818,TRUE,TRUE
"1493475050","c911d0dddb57406b34af9afaeab19ecc","53","E1","True-Blur","expensive/cheap","0","L","R","The bag is expensive.","R",2315,FALSE,TRUE
"1493475050","c911d0dddb57406b34af9afaeab19ecc","34","E1","Foil-Blur","heavy/light","0","L","R","The book is heavy.","L",2346,TRUE,TRUE
"1493475050","c911d0dddb57406b34af9afaeab19ecc","56","E1","True-Blur","loud/quiet","0","R","L","Only the trumpet is loud.","L",2334,FALSE,TRUE
"1493475050","c911d0dddb57406b34af9afaeab19ecc","47","E1","Both-D","loud/quiet","1","R","L","The instruments are quiet.","R",4661,TRUE,NA
"1493475050","c911d0dddb57406b34af9afaeab19ecc","52","E1","True-Blur","loud/quiet","1","L","R","Only the bird is quiet.","R",1900,FALSE,TRUE
"1493475050","c911d0dddb57406b34af9afaeab19ecc","45","E1","Both-D","expensive/cheap","1","R","L","The cars are cheap.","R",1807,TRUE,NA
"1493475050","c911d0dddb57406b34af9afaeab19ecc","55","E1","True-Blur","loud/quiet","0","L","R","The trumpet is loud.","R",2268,FALSE,TRUE
"1493475050","c911d0dddb57406b34af9afaeab19ecc","29","E1","Foil-Blur","expensive/cheap","1","R","L","The bag is cheap.","R",2951,TRUE,TRUE
"1493475050","c911d0dddb57406b34af9afaeab19ecc","42","E1","Both-C","expensive/cheap","0","L","R","The cars are expensive.","L",1856,TRUE,NA
"1493475050","c911d0dddb57406b34af9afaeab19ecc","35","E1","Foil-Blur","expensive/cheap","1","R","L","The bag is cheap.","R",2491,TRUE,TRUE
"1493475050","c911d0dddb57406b34af9afaeab19ecc","51","E1","Both-D","loud/quiet","1","R","L","The birds are quiet.","R",3390,TRUE,NA
"1493475050","c911d0dddb57406b34af9afaeab19ecc","37","E1","Both-C","heavy/light","0","L","R","The books are heavy.","L",3239,TRUE,NA
"1493475050","c911d0dddb57406b34af9afaeab19ecc","58","E1","True-Blur","expensive/cheap","1","R","L","The book is cheap.","L",1976,FALSE,TRUE
"1493475050","c911d0dddb57406b34af9afaeab19ecc","44","E1","Both-D","loud/quiet","1","R","L","The instruments are quiet.","R",2516,TRUE,NA
"1493475050","c911d0dddb57406b34af9afaeab19ecc","38","E1","Both-C","expensive/cheap","0","R","L","The watches are expensive.","R",2201,TRUE,NA
"1493475050","c911d0dddb57406b34af9afaeab19ecc","54","E1","True-Blur","expensive/cheap","0","L","R","The book is expensive.","R",2337,FALSE,TRUE
"1493475050","c911d0dddb57406b34af9afaeab19ecc","36","E1","Both-C","heavy/light","0","R","L","The books are heavy.","R",1639,TRUE,NA
"1493475050","c911d0dddb57406b34af9afaeab19ecc","48","E1","Both-D","expensive/cheap","1","R","L","The cars are cheap.","R",1472,TRUE,NA
"1493475050","c911d0dddb57406b34af9afaeab19ecc","49","E1","Both-D","heavy/light","1","R","L","The books are light.","R",1420,TRUE,NA
"1493475050","c911d0dddb57406b34af9afaeab19ecc","32","E1","Foil-Blur","heavy/light","1","R","L","The bag is light.","L",2572,FALSE,FALSE
"1493475050","c911d0dddb57406b34af9afaeab19ecc","59","E1","True-Blur","heavy/light","0","R","L","The watch is heavy.","L",1996,FALSE,TRUE
"1493475050","c911d0dddb57406b34af9afaeab19ecc","46","E1","Both-D","expensive/cheap","1","R","L","The watches are cheap.","R",1919,TRUE,NA
"1493475050","c911d0dddb57406b34af9afaeab19ecc","31","E1","Foil-Blur","loud/quiet","0","R","L","Only the bird is loud.","R",3075,TRUE,TRUE
"1493475050","c911d0dddb57406b34af9afaeab19ecc","43","E1","Both-C","loud/quiet","0","R","L","The instruments are loud.","R",2294,TRUE,NA
"1493475050","c911d0dddb57406b34af9afaeab19ecc","41","E1","Both-C","loud/quiet","0","R","L","The instruments are loud.","L",1396,FALSE,NA
"1493475050","c911d0dddb57406b34af9afaeab19ecc","33","E1","Foil-Blur","loud/quiet","0","L","R","Only the drum is loud.","L",2294,TRUE,TRUE
"1493475050","c911d0dddb57406b34af9afaeab19ecc","39","E1","Both-C","heavy/light","0","R","L","The bags are heavy.","R",1808,TRUE,NA
"1493475050","c911d0dddb57406b34af9afaeab19ecc","28","E1","Foil-Blur","expensive/cheap","0","L","R","The bag is expensive.","L",3033,TRUE,TRUE
