"subject","md5.hash","item.number","Experiment","Condition","Predicate","Polarity","Blur_Both","Overt","sentence","answer","rt","list","Selection.Blur_Both","Accuracy"
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","39","Exp2","Both-C","heavy/light","0","R","L","The books are heavy.","R",1687,"L1",TRUE,NA
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","44","Exp2","Both-D","expensive/cheap","1","R","L","The watches are cheap.","L",2942,"L1",FALSE,NA
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","53","Exp2","True-Blur","heavy/light","0","R","L","The book is heavy.","L",1165,"L1",FALSE,TRUE
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","35","Exp2","Foil-Blur","loud/quiet","0","R","L","Only the trumpet is loud.","R",1502,"L1",TRUE,TRUE
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","38","Exp2","Both-C","expensive/cheap","0","L","R","The watches are expensive.","L",724,"L1",TRUE,NA
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","50","Exp2","Both-D","loud/quiet","1","L","R","The birds are quiet.","R",1253,"L1",FALSE,NA
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","46","Exp2","Both-D","expensive/cheap","1","L","R","The cars are cheap.","R",487,"L1",FALSE,NA
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","28","Exp2","Foil-Blur","expensive/cheap","0","L","R","The book is expensive.","L",1056,"L1",TRUE,TRUE
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","31","Exp2","Foil-Blur","expensive/cheap","1","L","R","Only the watch is cheap.","L",667,"L1",TRUE,TRUE
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","55","Exp2","True-Blur","expensive/cheap","0","R","L","The bag is expensive.","R",913,"L1",TRUE,FALSE
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","51","Exp2","Both-D","expensive/cheap","1","L","R","The watches are cheap.","L",733,"L1",TRUE,NA
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","43","Exp2","Both-C","loud/quiet","0","R","L","The birds are loud.","R",1118,"L1",TRUE,NA
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","48","Exp2","Both-D","heavy/light","1","L","R","The bags are light.","R",661,"L1",FALSE,NA
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","58","Exp2","True-Blur","heavy/light","0","L","R","The book is heavy.","L",666,"L1",TRUE,FALSE
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","54","Exp2","True-Blur","heavy/light","0","L","R","Only the watch is heavy.","L",596,"L1",TRUE,FALSE
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","49","Exp2","Both-D","expensive/cheap","1","R","L","The watches are cheap.","L",666,"L1",FALSE,NA
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","45","Exp2","Both-D","loud/quiet","1","R","L","The birds are quiet.","R",933,"L1",TRUE,NA
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","42","Exp2","Both-C","expensive/cheap","0","L","R","The cars are expensive.","R",556,"L1",FALSE,NA
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","56","Exp2","True-Blur","loud/quiet","0","R","L","Only the trumpet is loud.","R",426,"L1",TRUE,FALSE
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","36","Exp2","Both-C","expensive/cheap","0","R","L","The cars are expensive.","R",457,"L1",TRUE,NA
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","37","Exp2","Both-C","loud/quiet","0","L","R","The instruments are loud.","R",2510,"L1",FALSE,NA
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","40","Exp2","Both-C","expensive/cheap","0","R","L","The cars are expensive.","L",397,"L1",FALSE,NA
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","47","Exp2","Both-D","heavy/light","1","L","R","The books are light.","R",470,"L1",FALSE,NA
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","41","Exp2","Both-C","expensive/cheap","0","L","R","The watches are expensive.","L",472,"L1",TRUE,NA
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","34","Exp2","Foil-Blur","expensive/cheap","1","L","R","The bag is cheap.","R",765,"L1",FALSE,FALSE
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","33","Exp2","Foil-Blur","expensive/cheap","1","R","L","Only the bag is cheap.","R",2069,"L1",TRUE,TRUE
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","30","Exp2","Foil-Blur","heavy/light","1","L","R","The watch is light.","R",3454,"L1",FALSE,FALSE
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","29","Exp2","Foil-Blur","loud/quiet","1","R","L","The bird is quiet.","R",909,"L1",TRUE,TRUE
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","57","Exp2","True-Blur","expensive/cheap","0","L","R","Only the watch is expensive.","L",649,"L1",TRUE,FALSE
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","52","Exp2","True-Blur","loud/quiet","0","L","R","Only the trumpet is loud.","R",779,"L1",FALSE,TRUE
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","59","Exp2","True-Blur","expensive/cheap","1","L","R","The book is cheap.","R",904,"L1",FALSE,TRUE
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","32","Exp2","Foil-Blur","heavy/light","0","L","R","The book is heavy.","R",700,"L1",FALSE,FALSE
"A2541C8MY0BYV3","faa159a734b1ad282d43a302aeefeaef","36","Exp2","Both-C","expensive/cheap","0","R","L","The cars are expensive.","R",3509,"L1",TRUE,NA
"A2541C8MY0BYV3","faa159a734b1ad282d43a302aeefeaef","32","Exp2","Foil-Blur","heavy/light","0","L","R","The book is heavy.","L",1936,"L1",TRUE,TRUE
"A2541C8MY0BYV3","faa159a734b1ad282d43a302aeefeaef","44","Exp2","Both-D","expensive/cheap","1","R","L","The watches are cheap.","R",2070,"L1",TRUE,NA
"A2541C8MY0BYV3","faa159a734b1ad282d43a302aeefeaef","42","Exp2","Both-C","expensive/cheap","0","L","R","The cars are expensive.","L",1932,"L1",TRUE,NA
"A2541C8MY0BYV3","faa159a734b1ad282d43a302aeefeaef","30","Exp2","Foil-Blur","heavy/light","1","L","R","The watch is light.","L",1841,"L1",TRUE,TRUE
"A2541C8MY0BYV3","faa159a734b1ad282d43a302aeefeaef","52","Exp2","True-Blur","loud/quiet","0","L","R","Only the trumpet is loud.","R",2219,"L1",FALSE,TRUE
