"subject","md5.hash","item.number","element.number","Experiment","Condition.Prime","Condition.Target","Predicate_scale","Image_side","Predicate.Prime","Polarity.Prime","Predicate.Target","Polarity.Target","Prime1.Foil","Prime2.Foil","Target.Blur","sentence","answer","rt","list","idturk","exemplar","Accuracy","Blur.Selection","HOI","Condition.Prime.Re","Distributive.response","Proportion.Matching"
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","7","Prime1","Exp2","C","C/Pos/Heavy-type","mismatching","mismatching","expensive/cheap","pos","loud/quiet","pos","R","L","L","The cars are expensive.","L",2180,"L1","A8SP23ECDU4F0","car",TRUE,NA,"prime","Coll/DEF",NA,NA
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","7","Prime2","Exp2","C","C/Pos/Heavy-type","mismatching","mismatching","expensive/cheap","pos","loud/quiet","pos","R","L","L","The watches are expensive.","L",997,"L1","A8SP23ECDU4F0","watch",FALSE,NA,"prime","Coll/DEF",NA,NA
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","7","Target","Exp2","C","C/Pos/Heavy-type","mismatching","mismatching","expensive/cheap","pos","loud/quiet","pos","R","L","L","The birds are loud.","R",1566,"L1","A8SP23ECDU4F0","bird",FALSE,FALSE,"prime","Coll/DEF",FALSE,TRUE
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","8","Prime1","Exp2","C","D/Neg/Light-type","matching","matching","loud/quiet","pos","loud/quiet","neg","L","R","L","The birds are loud.","R",1427,"L1","A8SP23ECDU4F0","bird",TRUE,NA,"prime","Coll/DEF",NA,NA
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","8","Prime2","Exp2","C","D/Neg/Light-type","matching","matching","loud/quiet","pos","loud/quiet","neg","L","R","L","The instruments are loud.","L",1491,"L1","A8SP23ECDU4F0","instrument",TRUE,NA,"prime","Coll/DEF",NA,NA
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","8","Target","Exp2","C","D/Neg/Light-type","matching","matching","loud/quiet","pos","loud/quiet","neg","L","R","L","The birds are quiet.","R",2346,"L1","A8SP23ECDU4F0","bird",TRUE,FALSE,"prime","Coll/DEF",TRUE,FALSE
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","5","Prime1","Exp2","C","C/Pos/Heavy-type","mismatching","matching","expensive/cheap","pos","loud/quiet","pos","L","R","L","The watches are expensive.","L",1338,"L1","A8SP23ECDU4F0","watch",FALSE,NA,"prime","Coll/DEF",NA,NA
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","5","Prime2","Exp2","C","C/Pos/Heavy-type","mismatching","matching","expensive/cheap","pos","loud/quiet","pos","L","R","L","The cars are expensive.","L",3460,"L1","A8SP23ECDU4F0","car",TRUE,NA,"prime","Coll/DEF",NA,NA
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","5","Target","Exp2","C","C/Pos/Heavy-type","mismatching","matching","expensive/cheap","pos","loud/quiet","pos","L","R","L","The instruments are loud.","L",2248,"L1","A8SP23ECDU4F0","instrument",FALSE,TRUE,"prime","Coll/DEF",TRUE,FALSE
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","22","Prime1","Exp2","Baseline-only","C/Pos/Heavy-type","matching","mismatching","loud/quiet","neg","loud/quiet","pos","R","L","L","Only the drum is quiet.","L",4878,"L1","A8SP23ECDU4F0","drum",TRUE,NA,"baseline","Dist/Only",NA,NA
