"subject","md5.hash","Var.3","comment","idturk","language","sex","year","list","Experiment"
"A8SP23ECDU4F0","ac50dc859ae478cead849f8a2c9e669d","yes","","A8SP23ECDU4F0","english","male","1995","L1","E2"
"A2541C8MY0BYV3","faa159a734b1ad282d43a302aeefeaef","yes","","A2541C8MY0BYV3","English","male","1987","L1","E2"
"A3F6SDO4GYBE4Y","bf5654f9953224eb5eed1f3192acb3bd","yes","","A3F6SDO4GYBE4Y","English","female","1978","L1","E2"
"A2QD7QFGCUNF5N","afc7d10d9385559f3629ee85a07b513b","yes","","A2QD7QFGCUNF5N","English","male","1987","L1","E2"
"A1SL65Z68BK1UT","e72722ca1a62ff10f2290251abfa3683","yes","","A1SL65Z68BK1UT","english","male","1994","L1","E2"
"AK7NIT4IJ8X6D","d85f8db5e614e51f9b482a8632553daf","yes","The experiment was straightforward and easy to follow","AK7NIT4IJ8X6D","English","male","1995","L1","E2"
"A2S4YDJ9UGAXFQ","697249117be559d9d1f3d635e1be8588","yes","","A2S4YDJ9UGAXFQ","English","male","1990","L1","E2"
"A212LZYYBMG13U","7975c46c427c4a2bd3756a270f4524f8","yes","","A212LZYYBMG13U","English","male","1991","L1","E2"
"A21W6704ES6YYZ","75a821fa9c4fa6938a9bf72e2d287812","yes","","A21W6704ES6YYZ","English","female","1979","L1","E2"
"A228YSXU6H27QT","811be378998d91004050170cd2a0ca63","yes","","A228YSXU6H27QT","English","male","1984","L1","E2"
"A2P76QVLSGJR45","f5b2c90c8af96d70a41529334c6b1a4b","yes","","A2P76QVLSGJR45","English","female","1978","L1","E2"
"A1GXFMAC759VRM","6b48fcf061a8788e7982c71051649ef1","yes","","A1GXFMAC759VRM","English","male","1978","L1","E2"
"A1DNJ17PE2RYJZ","1a3d4b34628644eb1c6416c419a6373d","yes","","A1DNJ17PE2RYJZ","English","male","1953","L1","E2"
"A3FFZN4FO3Q789","de47274128f3550f3ae06b3c938ada41","yes","","A3FFZN4FO3Q789","English","male","1988","L1","E2"
"A1FTGHYEU1T71Y","7e505b34f631616cdd351e7c43049240","yes","","A1FTGHYEU1T71Y","English","female","1989","L1","E2"
"AK3H5QRAROFGP","90e952823325afd265998ac679a9311a","yes","","AK3H5QRAROFGP","English","male","1987","L1","E2"
"AY5QUURIR136D","5f4f21414ee846b6a91585ef356f899d","yes","","AY5QUURIR136D","English","male","1986","L1","E2"
"A3E9A9O3CLMEW","7fec1b7079a597b16755cc2762529b21","yes","I enjoyed this study. It was quite unique%2C thanks!","A3E9A9O3CLMEW","English","male","1978","L1","E2"
"A273DS7TQWR9M1","0c07d035557314a28fa843d19d56ced8","yes","","A273DS7TQWR9M1","English","male","1987","L1","E2"
"A2XNO2KWLLGW6Z","0e87012e290d64bde2ad8d3691ad4933","yes","Very interesting!","A2XNO2KWLLGW6Z","english","male","1992","L1","E2"
"A1FHS282JP487T","a52d5e740960304ace523016735b11db","yes","","A1FHS282JP487T","English","male","1985","L1","E2"
"A3U6IA3JUSFZ2M","9c414d50e7e6948884ae52b19993ec78","yes","","A3U6IA3JUSFZ2M","english","female","1981","L1","E2"
"AGFWV1U4CJXP5","3e2a8bdd37250d8a90d2ee3b86d00d1a","yes","","AGFWV1U4CJXP5","english","female","1990","L1","E2"
"A1TH0PTGDSBWMO","c3155a10ee8f4b10945624175369aea5","yes","","A1TH0PTGDSBWMO","english","female","1987","L1","E2"
"A32UE0WDFAUWBE","ef58a0f98d3c8ae74e713b3fc2ede782","yes","","A32UE0WDFAUWBE","English","male","1989","L1","E2"
"A1F1OZ54G177D8","a0091e157526fa1d79aa64856f64fcc1","yes","","A1F1OZ54G177D8","English","male","1973","L1","E2"
"AADDOP3FHMAV1","cf049ac02a0e0f8c2be4f101379b4649","yes","It was great%2C thanks!","AADDOP3FHMAV1","English","male","1994","L1","E2"
"AY832D29HUURG","e8cf2bc7baf3072debd1a6baa84a4c5e","yes","","AY832D29HUURG","English","male","1990","L2","E2"
"A7KLTVEIASF4J","7109a2f832c33214e4681916a6297674","yes","","A7KLTVEIASF4J","english","male","1991","L2","E2"
"A32QJF67JMJFKX","46c6375fc6678a760d4b7f12e423307f","yes","","A32QJF67JMJFKX","English","male","1987","L2","E2"
"AVFHRN0S32V2H","3461f11826b376f7082f07372323e6ae","yes","","AVFHRN0S32V2H","English","male","1982","L2","E2"
"A2WH3GIS2KF8LU","580b95b5de5d5d8b43931f64fda83e65","yes","Everything went very well. Thank you!","A2WH3GIS2KF8LU","English","male","1984","L2","E2"
"AFDC9A6Z60W2Z","ed2c1176555ed796d264c2c308db8674","yes","","AFDC9A6Z60W2Z","English","male","1971","L2","E2"
"APR6H3HAOE9OU","04d36cee7f26f3536a9d2dfcc6aa31d0","yes","No comments. Thank you.","APR6H3HAOE9OU","English","male","1974","L2","E2"
"A1AZ97YYFVWFGC","5cc041c326dbecca53d75901070d960b","yes","","A1AZ97YYFVWFGC","English","male","1986","L2","E2"
"AY5O199V9M9O7","6ebe41b99e2bef4718c2f33776b447d7","yes","","AY5O199V9M9O7","English","male","1988","L2","E2"
"A3ITZNJQUTIZ4C","3e34fec9f00fc41f6409e85cb89861a5","yes","","A3ITZNJQUTIZ4C","English","female","1975","L2","E2"
"A15FXHC1CVNW31","5bd24ba63902381c84943895ca3843fc","yes","","A15FXHC1CVNW31","English","male","1988","L2","E2"
"A15RJPRX0KVUFS","97ad0d42a92d64a101079f494ff015b3","yes","","A15RJPRX0KVUFS","English","female","1980","L2","E2"
"A3QS96739O5M6F","bb4920656eceabdd989919eb7e08e867","yes","Thanks","A3QS96739O5M6F","English","male","1989","L2","E2"
"A3GPTSDDHJ2DBV","fa6f0e5957aee3dc04c7900eea7ffb6b","yes","","A3GPTSDDHJ2DBV","english","female","1988","L2","E2"
"A4J4GGMKJ68L0","155d70b07b30b2f60e616605b4b5fd23","yes","","A4J4GGMKJ68L0","ENGLISH","male","1991","L2","E2"
"A1GRPIBHW72HDU","9c7c64122b8b65b7c9194101b9e104e0","yes","","A1GRPIBHW72HDU","English","male","1989","L2","E2"
"ADBZSZ70J4ZID","2847f8a6b3cb4c9dd14217621c1fbd32","yes","","ADBZSZ70J4ZID","English","male","1993","L2","E2"
"AX06ZUCRNSGB3","0d05546d2d47510a1fcca14e63e53fbb","yes","","AX06ZUCRNSGB3","english","female","1992","L2","E2"
"A37PO5YNKE5D97","6c52fe46210a0737ed490470ebd34acf","yes","","A37PO5YNKE5D97","english","female","1983","L2","E2"
"A58QOLDFC179Q","43cee4329ee2cdf3c87f497128a677aa","yes","","A58QOLDFC179Q","english","male","1986","L2","E2"
"A166A2M31CW2C7","966f2e37f20d8f37f4fa5bb9cd95eedf","yes","","A166A2M31CW2C7","English","male","1988","L2","E2"
"A30HUBOONMGK6T","92b34d6ef1f5609433a846a5163a29b7","yes","N/A","A30HUBOONMGK6T","English","male","1979","L2","E2"
"A1FG4M4370KNFI","a29f5a2ef92b2e01052b140352be02c5","yes","thanks","A1FG4M4370KNFI","English","male","1980","L2","E2"
